id;titre;image;image_content_type;contenu;date_publication
1;a cyan;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;2024-03-29T20:47:05
2;Astatine;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;2024-03-30T00:57:21
3;pschitt structure;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;2024-03-30T01:48:28
4;Beauté;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;2024-03-30T14:11:21
5;Ouest B2C Bedfordshire;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;2024-03-29T19:48:25
6;c homogeneous Bentley;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;2024-03-30T00:49:41
7;a;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;2024-03-30T15:52:11
8;tant;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;2024-03-30T16:07:49
9;mesure;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;2024-03-30T12:06:54
10;splendide velit;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;2024-03-29T23:41:46
