id;sujet;description;statut;date_creation;proprietaire
1;Stage;../fake-data/blob/hipster.txt;Refusee;2024-03-30T11:17:36;Femme Fiat
2;Attestation_de_reussite;../fake-data/blob/hipster.txt;EnAttente;2024-03-30T12:11:57;Hyundai terne affable
3;Bourse;../fake-data/blob/hipster.txt;EnAttente;2024-03-30T16:08:18;Peso Electronique Polestar
4;Bourse;../fake-data/blob/hipster.txt;EnAttente;2024-03-30T12:56:00;OCR collaborative copying
5;Stage;../fake-data/blob/hipster.txt;EnAttente;2024-03-29T21:16:08;énorme
6;Attestation_de_reussite;../fake-data/blob/hipster.txt;EnAttente;2024-03-29T21:42:29;Consultant de
7;Attestation_de_reussite;../fake-data/blob/hipster.txt;EnAttente;2024-03-30T14:37:14;Toulouse calculate
8;Stage;../fake-data/blob/hipster.txt;Refusee;2024-03-30T09:08:14;Hybride
9;Bourse;../fake-data/blob/hipster.txt;Terminee;2024-03-30T03:04:08;Ouest c apparemment
10;Stage;../fake-data/blob/hipster.txt;EnAttente;2024-03-29T22:40:29;dedicated a
