id;titre;description;domaine;date_debut;date_fin;entreprise;lieu
1;que;../fake-data/blob/hipster.txt;INFORMATIQUE;2024-03-30T16:02:04;2024-03-29T21:20:41;Avon;kelvin
2;joule;../fake-data/blob/hipster.txt;ENERGITIQUE;2024-03-30T11:32:30;2024-03-30T14:50:51;Account;avant vlan
3;pour;../fake-data/blob/hipster.txt;MECANIQUE;2024-03-30T14:36:32;2024-03-29T23:29:40;Ford;Specialiste
4;defect Femme;../fake-data/blob/hipster.txt;ENERGITIQUE;2024-03-30T02:19:52;2024-03-30T05:31:04;capacitor;pourpre Amiens redundant
5;comme Sans meter;../fake-data/blob/hipster.txt;MECANIQUE;2024-03-29T17:48:36;2024-03-29T17:59:56;collègue katal;quantifying Cambridgeshire Pizza
6;amande Métal;../fake-data/blob/hipster.txt;INFORMATIQUE;2024-03-29T16:30:51;2024-03-29T21:52:27;Draisienne Cisgender Allée;c tomette
7;considérable;../fake-data/blob/hipster.txt;INFORMATIQUE;2024-03-29T18:26:00;2024-03-30T03:55:25;b Vêtements;que
8;c Rennes Artisanal;../fake-data/blob/hipster.txt;ENERGITIQUE;2024-03-29T23:16:32;2024-03-29T20:04:58;corporis synthesize;quae Polygender air
9;b;../fake-data/blob/hipster.txt;ENERGITIQUE;2024-03-30T15:33:19;2024-03-30T01:14:14;Petit Sans;autem c que
10;égoïste;../fake-data/blob/hipster.txt;INFORMATIQUE;2024-03-30T15:03:05;2024-03-29T19:52:48;Électrique dring Volvo;Homme
