id;nom;description;domaine_activite;adresse;contact
1;après;../fake-data/blob/hipster.txt;RSS hystérique;portals Account;Roupie monétaire
2;Haïti Jazz;../fake-data/blob/hipster.txt;dynamique Demiflux Homme;Singlespeed;essuyer
3;paiement Pantalon platforms;../fake-data/blob/hipster.txt;monétaire b groseille;HEX;architecto Prêt
4;Bois;../fake-data/blob/hipster.txt;Dollar;Titanium kilogram;Dollar
5;hack convergence;../fake-data/blob/hipster.txt;Tricycle près redundant;Chèque;c Nord Générique
6;Grand management;../fake-data/blob/hipster.txt;Ouest Lawrencium embrasser;Centre;Centralized
7;Optimized deploy;../fake-data/blob/hipster.txt;Visionary derrière;quoique Homme;Génial
8;Singlespeed Aston partir;../fake-data/blob/hipster.txt;parse Hybride;siemens c Smart;Vélo transmitting
9;deserunt protocol;../fake-data/blob/hipster.txt;Est;Analyste Chemise;Jordan
10;sans;../fake-data/blob/hipster.txt;Limousin triste;Rufiyaa;parallelism iterate
